Generation,Best,Mean
0,1292,110.66
1,1355,138.89
2,1206,120.42
3,1207,185.21
4,1383,257.27
5,1404,461.39
6,1208,751.35
7,1298,679.96
8,1377,757.66
9,1502,922.28
10,1520,962.14
11,1509,1050.41
12,1639,1128.97
13,1677,1170.25
14,1700,1163.85
15,1714,1191.35
16,1772,1212.64
17,1772,1050.28
18,1778,1224.02
19,1827,1403.81
20,1803,1364.4
21,1841,1269.64
22,1802,1393.21
23,1842,1400.9
24,1876,1428.16
25,1864,1473.59
26,1852,1327.01
27,1852,1307.8
28,1852,1345.22
29,1842,1620.75
30,1852,1617.24
31,1852,1578.25
32,1852,1360.82
33,1852,1490.09
34,1852,1693.6
35,1842,1804.88
36,1842,1842.0
37,1842,1842.0
38,1842,1842.0
39,1842,1842.0
40,1842,1842.0
41,1842,1842.0
42,1842,1842.0
43,1842,1842.0
44,1842,1842.0
45,1842,1842.0
46,1842,1842.0
47,1842,1842.0
48,1842,1842.0
49,1842,1842.0
50,1842,1842.0
51,1842,1842.0
52,1842,1842.0
53,1842,1842.0
54,1842,1842.0
55,1842,1842.0
56,1842,1842.0
57,1842,1842.0
58,1842,1842.0
59,1842,1842.0
60,1842,1842.0
61,1842,1842.0
62,1842,1842.0
63,1842,1842.0
64,1842,1842.0
65,1842,1842.0
66,1842,1842.0
67,1842,1842.0
68,1842,1842.0
69,1842,1842.0
70,1842,1842.0
71,1842,1842.0
72,1842,1842.0
73,1842,1842.0
74,1842,1842.0
75,1842,1842.0
76,1842,1842.0
77,1842,1842.0
78,1842,1842.0
79,1842,1842.0
80,1842,1842.0
81,1842,1842.0
82,1842,1842.0
83,1842,1842.0
84,1842,1842.0
85,1842,1842.0
86,1842,1842.0
87,1842,1842.0
88,1842,1842.0
89,1842,1842.0
90,1842,1842.0
91,1842,1842.0
92,1842,1842.0
93,1842,1842.0
94,1842,1842.0
95,1842,1842.0
96,1842,1842.0
97,1842,1842.0
98,1842,1842.0
99,1842,1842.0
